,trip_id,route_id,stop_id,vehicle_id,time_of_day,service_date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time,shape_id
75,CA_A6-Weekday-SDon-075000_S5181_308,S51,200151.0,6236.0,2016-01-04 18:00:00,20160104.0,9415.25580645,8.0,431.188202264,338.136041,S510083
76,CA_A6-Weekday-SDon-075000_S5181_308,S51,200151.0,6236.0,2016-01-04 18:05:00,20160104.0,10663.0429787,3.0,100.388189654,38.136041,S510083
77,CA_A6-Weekday-SDon-075500_MISC_406,S52,200758.0,8209.0,2016-01-04 18:00:00,20160104.0,8994.72174603,14.0,875.33799344,696.438458,S520109
78,CA_A6-Weekday-SDon-075500_MISC_406,S52,200758.0,8209.0,2016-01-04 18:05:00,20160104.0,10398.7504615,9.0,495.215038512,396.438458,S520109
79,CA_A6-Weekday-SDon-075500_MISC_406,S52,200758.0,8209.0,2016-01-04 18:10:00,20160104.0,11627.7157143,3.0,153.346707581,96.438458,S520109
80,CA_A6-Weekday-SDon-076500_MISC_438,S66,200612.0,7032.0,2016-01-04 18:00:00,20160104.0,3687.01553846,12.0,552.433860017,451.041392,S660044
81,CA_A6-Weekday-SDon-076500_MISC_438,S66,200612.0,7032.0,2016-01-04 18:05:00,20160104.0,4921.38322581,7.0,237.02046004,151.041392,S660044
82,CA_A6-Weekday-SDon-076500_MISC_438,S66,200618.0,7032.0,2016-01-04 18:00:00,20160104.0,3687.01553846,19.0,848.023494499,684.564225,S660044
83,CA_A6-Weekday-SDon-076500_MISC_438,S66,200618.0,7032.0,2016-01-04 18:05:00,20160104.0,4921.38322581,14.0,532.610094522,384.564225,S660044
84,CA_A6-Weekday-SDon-076500_MISC_438,S66,200618.0,7032.0,2016-01-04 18:10:00,20160104.0,7360.45096774,3.0,105.793935885,84.564225,S660044
85,CA_A6-Weekday-SDon-076500_MISC_445,S76,201616.0,7042.0,2016-01-04 18:00:00,20160104.0,4961.70849462,8.0,484.728693807,1023.819752,S760058
86,CA_A6-Weekday-SDon-076500_MISC_445,S76,201616.0,7042.0,2016-01-04 18:15:00,20160104.0,10577.5975,4.0,196.480500376,123.819752,S760058
87,CA_A6-Weekday-SDon-076500_S53_305,S53,203052.0,7057.0,2016-01-04 18:00:00,20160104.0,2666.71,12.0,632.067408501,585.295072,S530118
88,CA_A6-Weekday-SDon-076500_S53_305,S53,203052.0,7057.0,2016-01-04 18:05:00,20160104.0,3890.60238095,7.0,350.02348657,285.295072,S530118
89,CA_A6-Weekday-SDon-076500_S53_305,S53,203456.0,7057.0,2016-01-04 18:00:00,20160104.0,2666.71,5.0,251.070490761,270.202258,S530118
90,CA_A6-Weekday-SDon-076500_S53_305,S53,203505.0,7057.0,2016-01-04 18:00:00,20160104.0,2666.71,20.0,1096.14757527,1136.930883,S530118
91,CA_A6-Weekday-SDon-076500_S53_305,S53,203505.0,7057.0,2016-01-04 18:05:00,20160104.0,3890.60238095,15.0,814.103653343,836.930883,S530118
92,CA_A6-Weekday-SDon-077200_MISC_428,S48,201495.0,7013.0,2016-01-04 18:00:00,20160104.0,1761.51,13.0,965.965671341,1113.728276,S480057
93,CA_A6-Weekday-SDon-077200_MISC_428,S48,201495.0,7013.0,2016-01-04 18:05:00,20160104.0,2778.55870968,9.0,675.257924386,813.728276,S480057
94,CA_A6-Weekday-SDon-077200_MISC_428,S48,201495.0,7013.0,2016-01-04 18:10:00,20160104.0,3401.28701493,6.0,457.170444911,513.728276,S480057
95,CA_A6-Weekday-SDon-077200_MISC_428,S48,201495.0,7013.0,2016-01-04 18:15:00,20160104.0,4157.96552239,4.0,183.043103973,213.728276,S480057
96,CA_A6-Weekday-SDon-077200_MISC_428,S48,201502.0,7013.0,2016-01-04 18:00:00,20160104.0,1761.51,20.0,1363.59551237,1672.937774,S480057
97,CA_A6-Weekday-SDon-077200_MISC_428,S48,201502.0,7013.0,2016-01-04 18:05:00,20160104.0,2778.55870968,16.0,1072.88776541,1372.937774,S480057
98,CA_A6-Weekday-SDon-077200_MISC_428,S48,201502.0,7013.0,2016-01-04 18:10:00,20160104.0,3401.28701493,13.0,854.800285937,1072.937774,S480057
99,CA_A6-Weekday-SDon-077200_MISC_428,S48,201502.0,7013.0,2016-01-04 18:15:00,20160104.0,4157.96552239,11.0,580.672944999,772.937774,S480057
100,CA_A6-Weekday-SDon-077200_MISC_428,S48,202830.0,7013.0,2016-01-04 18:00:00,20160104.0,1761.51,1.0,0.632130828986,0.407845,S480057
101,CA_A6-Weekday-SDon-077500_MISC_425,S52,200758.0,8219.0,2016-01-04 18:00:00,20160104.0,2494.09548387,42.0,2132.76277503,2138.307419,S520109
102,CA_A6-Weekday-SDon-077500_MISC_425,S52,200758.0,8219.0,2016-01-04 18:05:00,20160104.0,4345.50587302,34.0,1881.59047422,1838.307419,S520109
