,trip_id,vehicle_id,route_id,stop_id,time_of_day,dist_along_route,stop_num_from_call
6,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,404300.0,12:20:00,1910.42301587,48.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404300.0,12:25:00,8137.09172043,29.0
1,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404300.0,12:25:00,33770.055,6.0
2,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404300.0,12:25:00,4935.96354167,39.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404300.0,12:25:00,25242.651129,18.0
4,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404300.0,12:25:00,18809.050625,18.0
5,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,404300.0,12:25:00,3283.93333333,43.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404300.0,12:30:00,9351.79297872,29.0
1,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404300.0,12:30:00,34464.8539806,4.0
2,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404300.0,12:30:00,5796.58114583,36.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404300.0,12:30:00,26629.1450476,16.0
4,CA_A6-Weekday-SDon-044000_X14_310,2659.0,X14,404300.0,12:30:00,1341.55105263,49.0
5,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404300.0,12:30:00,23481.771134,18.0
6,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,404300.0,12:30:00,4498.62905263,39.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,203810.0,12:00:00,2617.0609375,6.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,203810.0,12:05:00,4309.27568421,2.0
0,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,203810.0,12:10:00,506.085,15.0
0,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,203810.0,12:15:00,1938.38666667,9.0
1,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,203810.0,12:15:00,1000.915625,13.0
0,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,203810.0,12:20:00,3456.6859375,5.0
1,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,203810.0,12:20:00,1910.42301587,10.0
0,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,203810.0,12:25:00,4935.96354167,1.0
1,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,203810.0,12:25:00,3283.93333333,5.0
0,CA_A6-Weekday-SDon-044000_X14_310,2659.0,X14,203810.0,12:30:00,1341.55105263,11.0
1,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,203810.0,12:30:00,4498.62905263,1.0
0,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,805039.0,12:00:00,8437.90178295,9.0
1,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,805039.0,12:00:00,2617.0609375,24.0
0,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,805039.0,12:05:00,9839.82,7.0
1,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,805039.0,12:05:00,4309.27568421,20.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,805039.0,12:10:00,5667.39935484,17.0
1,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,805039.0,12:10:00,506.085,33.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,805039.0,12:15:00,6852.37182796,13.0
1,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,805039.0,12:15:00,1938.38666667,27.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,805039.0,12:15:00,1000.915625,31.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,805039.0,12:20:00,7212.84765957,12.0
1,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,805039.0,12:20:00,3456.6859375,23.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,805039.0,12:20:00,1910.42301587,28.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,805039.0,12:25:00,8137.09172043,9.0
1,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,805039.0,12:25:00,4935.96354167,19.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,805039.0,12:25:00,3283.93333333,23.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,805039.0,12:30:00,9351.79297872,9.0
1,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,805039.0,12:30:00,5796.58114583,16.0
2,CA_A6-Weekday-SDon-044000_X14_310,2659.0,X14,805039.0,12:30:00,1341.55105263,29.0
3,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,805039.0,12:30:00,4498.62905263,19.0
