,trip_id,route_id,stop_id,vehicle_id,time_of_day,date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time
47,MA_A6-Weekday-SDon-043000_MISC_651,X14,203723,2862.0,12:30:00,20160126.0,3920.35978723,12.0,952.601477716,1627.55008613
48,MA_A6-Weekday-SDon-043000_MISC_651,X14,200428,2862.0,12:15:00,20160126.0,460.869157895,1.0,34.2292195973,65.1429750702
49,CA_A6-Weekday-SDon-041000_X14_308,X14,903101,2581.0,12:00:00,20160126.0,2445.63588235,33.0,3674.91621977,6197.0
50,CA_A6-Weekday-SDon-037800_X14_305,X14,903101,2214.0,12:00:00,20160126.0,8680.86293578,16.0,2308.10617051,2963.79425959
51,CA_A6-Weekday-SDon-041000_X14_308,X14,903101,2581.0,12:05:00,20160126.0,3614.7340625,30.0,3510.01602896,5897.0
52,CA_A6-Weekday-SDon-042000_X14_309,X14,903101,2647.0,12:05:00,20160126.0,1462.80650794,36.0,3866.96390598,5915.0
53,CA_A6-Weekday-SDon-037800_X14_305,X14,903101,2214.0,12:05:00,20160126.0,9013.83603175,16.0,2349.21798971,2663.79425959
54,CA_A6-Weekday-SDon-041000_X14_308,X14,903101,2581.0,12:10:00,20160126.0,4969.86746032,26.0,3218.30781586,5597.0
55,CA_A6-Weekday-SDon-042000_X14_309,X14,903101,2647.0,12:10:00,20160126.0,2945.10650794,32.0,3603.66670054,5615.0
56,CA_A6-Weekday-SDon-037800_X14_305,X14,903101,2214.0,12:10:00,20160126.0,9382.64,16.0,2394.75380701,2363.79425959
57,CA_A6-Weekday-SDon-041000_X14_308,X14,903101,2581.0,12:15:00,20160126.0,6161.84968254,22.0,2912.42569029,5297.0
58,CA_A6-Weekday-SDon-042000_X14_309,X14,903101,2647.0,12:15:00,20160126.0,4205.75285714,28.0,3339.73850758,5315.0
59,CA_A6-Weekday-SDon-037800_X14_305,X14,903101,2214.0,12:15:00,20160126.0,10073.0174194,13.0,1868.23460899,2063.79425959
60,MA_A6-Weekday-SDon-043000_MISC_651,X14,903101,2862.0,12:15:00,20160126.0,460.869157895,40.0,4078.89554973,6372.34082067
61,CA_A6-Weekday-SDon-041000_X14_308,X14,903101,2581.0,12:20:00,20160126.0,6841.29096774,20.0,2724.15333341,4997.0
62,CA_A6-Weekday-SDon-042000_X14_309,X14,903101,2647.0,12:20:00,20160126.0,5568.84206349,25.0,3169.34372186,5015.0
63,CA_A6-Weekday-SDon-037800_X14_305,X14,903101,2214.0,12:20:00,20160126.0,10641.8564516,13.0,1902.87848107,1763.79425959
64,MA_A6-Weekday-SDon-043000_MISC_651,X14,903101,2862.0,12:20:00,20160126.0,1770.7906383,35.0,3798.04594878,6072.34082067
65,CA_A6-Weekday-SDon-041000_X14_308,X14,903101,2581.0,12:25:00,20160126.0,8655.34086957,16.0,2304.95498927,4697.0
66,CA_A6-Weekday-SDon-042000_X14_309,X14,903101,2647.0,12:25:00,20160126.0,6696.61914894,21.0,2894.63697557,4715.0
67,CA_A6-Weekday-SDon-037800_X14_305,X14,903101,2214.0,12:25:00,20160126.0,13869.5545455,12.0,1702.00635179,1463.79425959
68,MA_A6-Weekday-SDon-043000_MISC_651,X14,903101,2862.0,12:25:00,20160126.0,3189.63444444,32.0,3645.21598694,5772.34082067
69,CA_A6-Weekday-SDon-041000_X14_308,X14,903101,2581.0,12:30:00,20160126.0,7760.73625,18.0,2519.76875519,4397.0
70,CA_A6-Weekday-SDon-042000_X14_309,X14,903101,2647.0,12:30:00,20160126.0,7021.08489362,20.0,2771.94949812,4415.0
71,CA_A6-Weekday-SDon-037800_X14_305,X14,903101,2214.0,12:30:00,20160126.0,17742.3431579,8.0,1038.53968268,1163.79425959
72,MA_A6-Weekday-SDon-043000_MISC_651,X14,903101,2862.0,12:30:00,20160126.0,3920.35978723,29.0,3433.89341302,5472.34082067
0,CA_A6-Weekday-SDon-037500_MISC_433,X11,450402,2667.0,12:00:00,20160127.0,20799.4230769,3.0,1036.28939997,1020.59093908
1,MA_A6-Weekday-SDon-039500_X1011_601,X11,450402,2897.0,12:00:00,20160127.0,7383.53977662,6.0,2610.6304167,2622.84189652
2,CA_A6-Weekday-SDon-037500_MISC_433,X11,450402,2667.0,12:05:00,20160127.0,24318.5269231,3.0,1307.78212984,720.590939081
3,MA_A6-Weekday-SDon-039500_X1011_601,X11,450402,2897.0,12:05:00,20160127.0,8793.4839315,4.0,1712.34320543,2322.84189652
