,stop_id,route_id,shape_id,direction_id,dist_along_route
456,201680,S51,S510082,0,2314.37
457,200102,S51,S510082,0,2663.74
458,200104,S51,S510082,0,3070.1
459,200105,S51,S510082,0,3302.72
460,200107,S51,S510082,0,3582.25
461,203236,S51,S510082,0,3779.41
462,203228,S51,S510082,0,3917.21
463,200110,S51,S510082,0,4074.72
464,200111,S51,S510082,0,4186.83
465,203104,S51,S510082,0,4293.16
466,200113,S51,S510082,0,4380.59
467,203083,S51,S510082,0,5282.38
468,200163,S51,S510082,0,5633.54
469,200165,S51,S510082,0,5956.17
470,200166,S51,S510082,0,6199.55
471,203411,S51,S510082,0,6532.94
472,203747,S51,S510082,0,6818.99
473,203746,S51,S510082,0,7300.74
474,203412,S51,S510082,0,7492.1
475,203745,S51,S510082,0,7658.05
476,200137,S51,S510082,0,7929.63
477,203692,S51,S510082,0,8068.31
478,203690,S51,S510082,0,8275.14
479,200139,S51,S510082,0,8416.82
480,200140,S51,S510082,0,8731.81
481,202801,S51,S510082,0,8972.99
482,200142,S51,S510082,0,9300.88
483,200144,S51,S510082,0,9687.32
484,200145,S51,S510082,0,9874.06
485,200146,S51,S510082,0,10272.1
486,200147,S51,S510082,0,10415.33
487,200148,S51,S510082,0,10580.72
488,200149,S51,S510082,0,10728.06
489,203379,S51,S510082,0,11000.79
490,200151,S51,S510082,0,11144.74
491,200152,S51,S510082,0,11439.79
492,200153,S51,S510082,0,11642.12
493,200154,S51,S510082,0,11866.65
494,203650,S51,S510082,0,12146.98
495,805015,S51,S510082,0,12506.15
496,200242,S51,S510083,0,0.12
497,200157,S51,S510083,0,244.56
498,203466,S51,S510083,0,516.83
499,200160,S51,S510083,0,703.63
500,200159,S51,S510083,0,864.03
501,200161,S51,S510083,0,1071.65
502,203008,S51,S510083,0,1504.36
503,200097,S51,S510083,0,1700.92
504,200099,S51,S510083,0,1945.76
505,201680,S51,S510083,0,2314.37
506,200102,S51,S510083,0,2663.74
507,200104,S51,S510083,0,3070.1
508,200105,S51,S510083,0,3302.72
509,200107,S51,S510083,0,3582.25
510,203236,S51,S510083,0,3779.41
511,203228,S51,S510083,0,3917.21
512,200110,S51,S510083,0,4074.72
513,200111,S51,S510083,0,4186.83
514,203104,S51,S510083,0,4293.16
515,200113,S51,S510083,0,4380.59
516,203083,S51,S510083,0,5282.38
517,200163,S51,S510083,0,5633.54
518,200165,S51,S510083,0,5956.17
519,200166,S51,S510083,0,6199.55
520,200132,S51,S510083,0,6487.94
