,actual,baseline,lbfgs,sgd,adam
1802,751.0,699.085877574,714.897958519,676.846437136,727.490971583
1803,564.398693,473.385513649,519.158426377,555.725904289,538.552542624
1804,693.489835,696.8854227,817.672282033,917.74210758,845.48295071
1805,2301.00521,2250.00299196,2393.4961942,2446.47408449,2473.19624497
1806,1692.004252,1351.81896087,1438.44420954,1486.62554585,1491.81478927
1807,1089.944736,846.323792952,885.398199161,870.849369644,910.273857789
1808,1047.483368,1046.86420089,1075.52501906,1077.82835162,1121.50095958
1809,1183.412198,927.54184636,919.427312687,767.815022876,910.301556192
1810,761.38763,706.897849819,767.07089843,768.055603506,781.216282179
1811,94.0,68.3259912004,75.8951834738,81.5410649872,79.687393523
1812,133.123133,53.4051372523,83.5630938469,53.6752513467,67.4002611152
1813,835.586639,904.347669395,941.888528549,946.093905699,977.78970057
1814,2891.489499,815.776606402,1982.67874352,1702.46868133,2085.87818137
1815,2257.590016,1962.95680436,1977.7575355,1966.50979518,2071.38677805
1816,109.067289,103.090536161,122.635005707,132.489867171,125.374242754
1817,876.110703,807.176607406,828.713661208,824.884246627,862.967446309
1818,1198.939793,1243.06646289,1315.29309355,1336.39697883,1360.58191955
1819,463.929953,332.458085658,390.107224053,424.012650928,398.2899754
1820,548.233038,397.486213504,619.769365415,657.304210992,618.523435043
1821,2585.58698,1965.65387265,2717.80342031,3053.02337413,2711.73141417
1822,846.517731,811.101137803,836.398171909,871.777309758,882.435361045
1823,446.570314,452.189662308,473.273683958,483.620397992,493.583833532
1824,508.826442,264.848422152,360.831959995,393.193629002,356.135848564
1825,3245.152851,2235.9052318,2507.66681706,2609.12988535,2546.36110167
1826,150.265273,199.818999601,241.569048578,263.733789401,245.888230319
1827,1117.0,1145.05074518,1063.48115502,999.443930483,1139.24653861
1828,2239.389705,759.455313516,2613.01194724,1811.38423152,2504.65377148
1829,1085.338396,921.157275601,991.391997007,1021.12817035,1022.40923083
1830,738.830928,812.810611219,841.21100785,812.25698566,862.803850831
1831,445.122486,303.299042798,359.857166423,405.087078973,371.679480347
1832,95.943531,161.516512127,145.212366996,133.324582045,153.757810664
1833,160.239683,133.104265438,166.559462293,167.209160158,161.630540347
1834,870.472571,806.764427543,846.950959484,861.276865172,879.719158745
1835,1651.933411,1250.4313184,1511.49769375,1663.17270495,1534.75165215
1836,511.428047,442.66504076,497.3185888,542.009975038,513.23376676
1837,382.986985,413.712275144,442.186372879,397.589401001,434.135824666
1838,1202.19851,758.683540976,828.664346378,834.406757642,842.925508464
1839,725.322026,738.266104983,778.199964986,760.766418647,796.279004735
1840,310.944479,228.013910267,260.199748846,278.446437683,266.3831892
1841,1266.344614,691.820558975,835.101657228,882.820135136,834.770158161
1842,930.278624,707.507032768,1069.2637408,1146.80521284,1065.91817172
1843,832.603496,777.053918655,821.218155712,813.827428041,842.848386981
1844,1536.4615,1119.56493614,1209.4620086,1227.39462937,1238.52006556
1845,2311.456714,1776.53400039,1916.03800962,1988.28476448,1977.06949001
1846,259.205915,178.943153185,203.816462846,228.391116384,212.265520619
1847,2486.120435,2520.82484853,2601.68136693,2627.2022932,2712.50583211
1848,1223.67029,1022.4917308,1130.23116213,1149.85264022,1146.89318812
1849,913.808478,979.694905983,1040.90464568,1054.84398665,1073.45468965
1850,460.042696,442.795166418,524.419177288,544.784295023,522.070994324
1851,1835.098543,1564.49991103,1753.13609244,1822.62520578,1780.2687071
1852,664.953972,621.246255522,681.607621152,712.776996732,700.226464568
1853,1665.122399,290.795249706,1351.83496485,780.507233028,1187.78520504
1854,2063.505641,1979.20297847,2086.75605153,2092.6821477,2151.13885117
1855,387.616268,344.031119928,391.138741343,381.119171556,387.911644858
1856,2586.443647,1913.53866107,2149.40794162,2243.44392242,2183.63445864
1857,1985.338396,1894.13654307,2024.23589636,2076.40438887,2089.86835907
1858,904.70554,614.745368296,793.726868123,880.16720811,794.413439121
1859,678.456148,719.7634822,747.058523153,749.569355297,776.678619006
1860,1744.539957,1423.64452712,1671.29121889,1822.53527114,1704.4283036
1861,361.770658,320.822473352,394.412185347,420.199414451,393.951047187
1862,19.461135,43.7902962023,63.353006942,50.3985361891,54.2364464471
1863,1608.383666,1323.6804826,1420.45522164,1459.94414832,1465.20334807
1864,376.0,435.379246884,465.032311295,485.599638421,483.265699749
1865,1140.132227,925.173437595,987.686163034,987.178611909,1012.10717686
1866,2539.964166,2080.01928725,2540.9312482,2800.59931059,2569.1554169
1867,447.895168,382.715620693,408.434644628,416.221826659,422.464901775
1868,339.380853,412.823329171,458.27258356,477.01434393,468.678535298
1869,2482.971168,2297.75445446,2548.71205465,2667.61050114,2604.80245154
1870,1648.410599,1844.2482044,2108.7351163,2251.96443898,2144.98565799
1871,1887.38164,1802.52319794,1905.84124926,1946.41902066,1974.15363911
1872,114.874499,65.1685724714,94.88579798,87.9933085587,86.0308568656
1873,611.154229,689.90703744,727.317733259,665.261832879,721.970372471
1874,659.423595,515.75357195,589.47488676,626.506938943,599.964684236
1875,673.68255,704.033888249,709.194738976,708.097634052,744.242639789
1876,877.962244,289.573261884,800.814162707,636.946773903,822.578067091
1877,1430.861211,1322.98856251,1460.06386436,1566.40481914,1508.87654398
1878,2070.679292,1491.90583818,1818.30670249,1978.43544202,1834.81750082
1879,1236.874475,1408.43971383,1376.1744017,1156.32005216,1369.37648383
1880,1198.670348,936.400770213,1088.94534537,1171.87861696,1106.68121131
1881,67.889697,68.6528976042,77.3593329514,78.5956429265,79.3916035716
1882,464.215424,451.810828366,465.608512399,458.96953637,482.980767551
1883,393.872816,399.908913233,445.746532906,507.771148077,470.176211918
1884,113.580498,154.614810183,144.609561682,133.522561587,153.202129444
1885,762.792563,631.567839133,761.928475385,815.695441412,765.823337562
1886,572.007809,617.63435656,800.880263583,916.779671396,814.638427863
1887,1456.621189,1224.28993255,1437.20749396,1576.11008078,1468.89565798
1888,832.849489,733.340175395,803.003696549,813.588089163,817.279044
1889,2019.307982,1294.97585424,2045.03995724,2151.92089061,2049.25761624
1890,1599.092289,1382.24149708,1623.29613066,1770.10046137,1655.34533813
1891,334.024444,389.311704405,443.628304966,472.599143799,452.734538634
1892,698.91246,840.116883346,924.219185056,932.954915762,937.897774825
1893,834.771868,495.435763411,913.78029199,889.73413677,916.895654936
1894,1128.112814,1054.0062661,1232.30915595,1317.29486153,1245.84877174
1895,429.522722,457.479859448,501.301334906,491.622178486,505.621239006
1896,563.469951,471.095765681,585.896816831,659.457022864,592.778235336
1897,1277.583729,1089.44710843,1191.74727936,1232.44869177,1221.35043756
1898,186.672139,148.703435193,197.604710506,198.777149573,189.160701428
