,actual,baseline,GP_RBF_ARD,GP_RBF_NoARD,GP_Matern32_ARD,GP_Matern32_NoARD,GP_Matern52_ARD,GP_Matern52_NoARD,GP_Linear_ARD,GP_Linear_NoARD
1857,1985.338396,1894.13654307,2016.23590878,2026.27809326,2019.19367055,2034.05888967,2022.59913311,2036.0243403,2001.41718363,2003.12801305
1858,904.70554,614.745368296,828.844947967,808.578794843,823.574847892,794.697805982,823.283942404,804.104125965,890.45310258,890.422070625
1859,678.456148,719.7634822,747.074586958,751.23550264,738.642476608,751.347996156,745.395326326,752.002682596,709.766132608,710.918148741
1860,1744.539957,1423.64452712,1675.47493501,1678.93534708,1673.52987324,1672.81810956,1677.24143454,1667.9137347,1833.6799509,1834.823014
1861,361.770658,320.822473352,402.566412796,396.030569414,403.979477553,390.183601688,401.827393148,393.197649708,436.893163176,436.887879818
1862,19.461135,43.7902962023,61.0298608732,60.9142049845,61.0685322238,58.3926203177,61.1445024864,61.4675834459,64.9591966319,64.8384524238
1863,1608.383666,1323.6804826,1410.35334708,1421.01335371,1409.03703734,1427.13194931,1414.45115098,1427.49561969,1410.02702629,1411.42977308
1864,376.0,435.379246884,470.850674714,470.442264672,474.940438936,472.336413008,472.784578961,472.35393768,487.240386435,484.679670353
1865,1140.132227,925.173437595,990.156577375,988.334548501,995.110550578,987.552738926,992.727007736,993.514088799,959.042725404,959.401958236
1866,2539.964166,2080.01928725,2622.05932392,2579.22497431,2631.77557531,2539.90628102,2616.10057207,2556.74716604,2840.09156868,2840.5439246
1867,447.895168,382.715620693,402.116602348,409.786874285,397.815524513,411.112475062,401.271602698,410.470481789,401.001920575,401.922408634
1868,339.380853,412.823329171,444.222287803,455.262990389,439.208785113,459.175554306,444.502026601,456.334311586,468.457120613,469.338934491
1869,2482.971168,2297.75445446,2522.23286045,2537.1883955,2541.77271571,2553.21896538,2535.72187921,2545.07556467,2618.63139842,2620.38280716
1870,1648.410599,1844.2482044,2097.85054864,2107.10701329,2110.69214581,2115.62150186,2106.30205667,2103.48136047,2250.02624292,2251.36001744
1871,1887.38164,1802.52319794,1903.50337111,1910.8869209,1902.88934117,1916.95623448,1907.69473641,1919.38108604,1864.13278904,1865.85054352
1872,114.874499,65.1685724714,96.0207215032,92.093642253,94.6352159436,89.1550714461,95.0212145929,92.295021381,104.99961619,104.871631731
1873,611.154229,689.90703744,711.450822636,701.699361185,707.311275936,699.097031063,708.165076882,701.922751871,626.69572968,626.985068292
1874,659.423595,515.75357195,574.746455834,587.033895418,567.586471809,591.442622254,575.49900204,586.530732405,626.299476159,627.150155904
1875,673.68255,704.033888249,724.463468114,718.934624744,722.555503157,717.151137758,722.391446783,718.650100587,676.113694361,673.609965043
1876,877.962244,289.573261884,820.471036777,831.888504258,833.369221543,825.762913656,824.690852209,820.75298692,558.750918394,558.609532212
1877,1430.861211,1322.98856251,1450.61113879,1462.67884186,1455.72052617,1476.93828865,1457.36655849,1464.37869848,1545.23489658,1543.98514575
1878,2070.679292,1491.90583818,1868.0362752,1838.67490641,1876.29396239,1811.792049,1864.70719894,1823.23753483,2025.27355268,2025.53167572
1879,1236.874475,1408.43971383,1336.92042138,1302.07539546,1331.04949566,1335.38160901,1322.88079047,1308.48098221,982.122483446,981.589456753
1880,1198.670348,936.400770213,1078.88495895,1088.65359906,1073.47571508,1090.31515138,1080.65091166,1084.24495028,1179.56864403,1180.51912568
1881,67.889697,68.6528976042,78.1128731747,76.2902228614,79.5931476454,77.7928479373,76.751318349,75.9029532332,77.8599719082,78.5865983895
1882,464.215424,451.810828366,476.119950429,474.241094868,474.428187973,470.476693296,474.992615631,474.182067614,457.03479522,454.281885315
1883,393.872816,399.908913233,439.916791858,450.341626855,430.016413193,457.345212321,439.987146977,448.466058083,507.95708863,506.382179199
1884,113.580498,154.614810183,152.454557965,152.823993924,150.36905645,150.101610071,150.253826401,150.821138923,135.57987932,132.526413429
1885,762.792563,631.567839133,774.449944454,764.589387831,780.286369873,756.268205249,774.486618854,759.335866694,839.081043124,839.144209757
1886,572.007809,617.63435656,815.698350155,822.432148181,788.791779867,817.986703974,811.155922621,821.039180434,898.994565681,899.682799029
1887,1456.621189,1224.28993255,1468.35427082,1450.10378546,1483.56380755,1442.51171075,1470.49062713,1439.94273962,1602.32959383,1600.26404577
1888,832.849489,733.340175395,800.36659819,800.764028236,807.898954878,801.53365377,804.144780262,805.306140023,801.229538998,801.477725197
1889,2019.307982,1294.97585424,2059.53451868,2014.71881271,2056.78062697,2020.07821541,2046.96776121,2026.3928634,2048.49319643,2048.48510241
1890,1599.092289,1382.24149708,1626.85638538,1630.64135957,1624.22327842,1624.66085427,1628.46287201,1619.93513139,1781.28611498,1782.41177857
1891,334.024444,389.311704405,429.394048137,441.471330265,422.558409467,445.69243523,429.536846857,441.131277783,470.989105775,471.809124007
1892,698.91246,840.116883346,920.553492684,921.060744635,928.978683181,921.271416656,924.843270401,926.319120041,922.906264258,923.154906508
1893,834.771868,495.435763411,902.267602294,888.305830468,909.884392635,897.75655333,900.519443095,895.99943168,833.634887113,833.527780264
1894,1128.112814,1054.0062661,1241.81204632,1233.60743241,1258.7408264,1230.69753843,1245.96679885,1228.33995679,1334.22950896,1334.48424807
1895,429.522722,457.479859448,500.447828215,500.140338477,502.562245637,497.797806609,501.827592172,503.022740038,490.031348892,490.103651216
1896,563.469951,471.095765681,582.821964607,593.564711799,561.946416067,589.398777448,580.221157682,590.60567289,657.383897026,658.103861849
1897,1277.583729,1089.44710843,1174.76886879,1187.23244726,1173.43994982,1193.93939809,1178.92981084,1192.12832102,1201.96505016,1203.18947734
1898,186.672139,148.703435193,201.650943083,195.945170145,199.914559969,191.248082932,200.229986606,195.252642587,219.55284956,219.429137705
1899,259.59627,294.440610644,309.717536886,318.644841888,305.759855565,325.309565835,309.251068467,318.76889338,349.062696261,347.297720245
1900,202.445317,109.276710859,129.183252433,138.654481594,134.370827899,135.145956254,133.861274643,148.744985801,115.616188938,113.59983551
1901,1544.086329,1730.16582986,1789.13312671,1785.05628151,1778.56368334,1785.6053733,1786.35728112,1788.11953389,1668.71967328,1670.50109818
1902,107.0,61.0821623324,73.2609088275,73.9383904104,73.4436545498,71.8250807525,73.9002045431,75.9628093357,64.4321563581,64.2941346956
