,actual,baseline,identity,logistic,tanh,relu
2111,110.69292,88.5846389816,141.926643069,144.709969971,139.12668978,133.959500848
2112,567.388401,668.252564926,637.781832874,702.036392757,633.071156808,652.691275419
2113,1516.005564,1301.50405786,1353.84389603,1476.14003239,1344.66706433,1333.82173268
2114,168.0,65.927030915,108.814752935,113.19220638,107.553721526,105.830219613
2115,995.685798,983.216858405,1033.19570525,1125.98503595,1026.70999505,1011.93884706
2116,1914.100138,1771.63463914,2053.79503278,2213.6284341,2041.16179119,1909.1069469
2117,1886.850502,1797.54249725,1980.05161893,2149.94051069,1969.01714556,1890.6281043
2118,623.67029,529.294163186,644.408928408,685.615464348,638.53154453,589.771979626
2119,299.992262,253.275992695,276.217783907,298.494473164,274.818252485,263.184513003
2120,1658.738608,1468.40085488,1315.58584303,1455.65550982,1299.4638813,1409.8833015
2121,533.306886,360.862314568,409.0696204,436.257328947,404.656124298,388.656725165
2122,298.975293,414.423879013,316.773312716,355.843778097,309.800942577,370.039096199
2123,880.687888,787.489900881,803.054804838,877.741282657,797.911284613,796.641581107
2124,949.577929,1062.90762762,1151.50807918,1241.80902289,1141.16050981,1115.04910393
2125,780.0,820.793144129,949.810352637,1027.55439646,945.407570865,884.18774488
2126,1121.127061,1049.17321747,1250.05503194,1342.98190273,1241.83278584,1150.74040506
2127,446.756194,369.646921444,415.127348598,447.74563823,412.624393312,393.586410781
2128,903.81159,916.805651225,975.590975078,1061.72316787,969.642678466,949.115105721
2129,1052.74372,993.521475888,1032.90688085,1121.39261746,1023.85211147,1020.88222669
2130,695.943531,742.026231892,563.614110647,638.66676566,553.591205532,657.390092892
2131,1108.639573,785.800965095,939.420112629,1010.18637242,934.135757455,862.548235471
2132,1128.391213,600.251536058,645.329413944,693.153307694,638.888770534,623.62942745
2133,661.473056,452.567727779,692.490400063,725.984720394,684.261331612,651.55873351
2134,1066.29089,466.350743068,895.637244892,926.205655435,875.647886842,1187.51903493
2135,1059.905068,543.055321287,940.611425434,981.223390006,925.648273439,1049.47029841
2136,1005.334351,890.480076788,1150.07424407,1221.4596184,1140.81336889,1018.09320079
2137,563.505641,541.71989425,604.504101943,648.591154605,598.825833531,577.292451599
2138,415.858525,259.243356134,365.732500839,382.294705673,361.234366713,314.563467696
2139,714.688584,648.697242683,693.317520293,747.999537534,686.718836939,676.688258652
2140,882.94585,528.681572265,742.749317249,783.849281149,735.641082779,637.684133923
2141,1205.805836,1116.10667331,1431.00524867,1528.44797075,1421.80348592,1273.70080943
2142,403.85134,324.208389701,422.510191114,444.152982079,417.692254008,376.228361692
2143,765.613323,896.957262028,1238.32594935,1316.47184894,1229.51864031,1065.83047557
2144,2368.936408,1651.90460717,1736.779332,1887.07230978,1723.12306515,1703.88933477
2145,705.217818,708.74299521,905.461153755,968.94488752,900.298532858,806.417477043
2146,1899.898623,2106.4029381,1987.38321091,2190.88411355,1968.86396326,2062.58434695
2147,1152.32451,1110.14852017,1402.57092293,1503.20143827,1395.11275882,1250.04640662
2148,2284.998549,2388.75426026,2785.16308797,3008.0851944,2770.59545221,2582.61679528
2149,2504.202396,1397.36438421,1756.73606191,1875.58356024,1743.98358714,1579.60103
2150,455.40555,437.700008579,371.165923877,411.944778535,365.741687229,411.414654859
2151,805.782107,853.650186547,908.004910271,985.71274442,901.687101322,885.113081313
2152,1670.446327,1905.644245,2457.81002285,2629.64590338,2443.15215106,2179.69298113
2153,705.059388,627.987025024,748.60765735,805.198318466,744.502146833,688.230112364
2154,189.574527,162.473251911,131.507259573,144.929930787,128.928430247,150.874170324
2155,1064.682403,673.389099604,700.101640831,758.461044162,693.42851926,692.931304297
2156,967.448723,533.936679125,816.452269881,857.233458353,807.082218755,770.111369073
2157,350.471035,287.652659762,304.53491691,329.782270888,302.44472842,298.255962203
2158,894.167676,734.052056433,908.380659496,955.788998974,897.262983518,829.532427671
2159,496.988682,412.772110895,640.709598709,671.603989676,632.942799842,615.309588765
2160,194.364922,135.515026926,213.494237435,214.591136788,208.526507195,190.27457935
2161,207.889793,187.83851149,272.953158479,281.70220431,268.627477977,233.89867007
2162,1678.196857,1435.05187943,1928.88484055,2050.06297698,1914.00438675,1682.679359
2163,1995.969711,1280.37740622,1619.39693374,1721.91448792,1605.76719978,1454.76538831
2164,1818.899922,1480.00288751,1777.20126765,1912.9628981,1767.5265929,1627.69635206
2165,851.794235,874.006288999,838.639998796,922.7479413,831.712782849,863.579304604
2166,1885.222453,1905.21916065,1944.10623794,2127.45535462,1931.13012096,1933.39311461
2167,489.590834,267.139566625,417.271077943,434.445806617,411.440386625,398.215450357
2168,636.874475,737.685919367,568.276406606,639.42650414,556.469878033,662.374729871
2169,185.24569,154.819702328,214.829349472,226.214565116,213.103195203,185.086398947
2170,675.744063,883.086274288,803.775919582,885.473238787,793.933948381,851.92568702
2171,952.013415,785.349075747,1006.38077069,1074.31446198,999.877233246,896.121885569
2172,1245.979578,1345.94127882,1405.12266304,1532.9261307,1396.14093543,1380.73931828
2173,1023.536498,872.954255854,1164.35873893,1234.40528326,1154.42462442,1020.87337694
2174,399.886186,379.878939424,421.607143235,455.960786974,419.240834368,401.761981241
2175,1643.389096,1754.90998984,2127.33332726,2289.22774544,2116.20695268,1936.89446686
2176,1116.310375,1116.05530771,1215.48508326,1316.05899768,1206.56791454,1170.38800124
2177,497.158536,526.358323136,543.243630492,586.993001935,537.322655388,541.030175979
2178,1010.26502,970.140480126,1137.61054278,1223.55553879,1129.99146315,1055.34937367
2179,977.859519,961.617911583,988.695704967,1079.04465171,981.808416593,974.453568355
2180,1939.389705,606.756151664,1325.4299901,1366.53025995,1284.13645338,2090.52667914
2181,197.175179,218.094498378,298.847718739,316.156376528,296.650863175,258.53638689
2182,1202.560299,1270.5811654,809.275541868,939.767303608,780.965933775,1055.71832302
2183,603.370939,783.050499905,1005.12003799,1076.81369651,999.757845746,892.633519561
2184,480.0,521.023022489,508.007802222,558.022677725,504.285878583,518.473741928
2185,689.018016,729.330053994,557.313708585,628.157994667,545.582745762,652.452109572
2186,929.654219,975.932129654,1021.25173557,1107.44005939,1012.23919633,1006.14689925
2187,72.938827,41.9859601567,58.3240480996,53.224857236,55.7391620433,49.222398098
2188,603.879598,659.104109443,665.298334709,728.421986913,660.925550718,665.908051863
2189,731.665138,478.276950668,584.650848666,626.739973006,581.308479776,531.521981692
2190,303.370939,364.197170177,565.736953083,597.05681745,560.291897777,546.245606608
2191,1116.272434,1206.9900316,1164.98793258,1270.27697926,1151.63951668,1202.1301257
2192,780.650771,727.498139108,770.047156371,833.549039053,763.237435523,754.293893112
2193,1818.766488,1494.98175542,1806.49894904,1942.22604542,1796.27257468,1650.3104404
2194,906.238181,776.500685199,938.819506257,1003.43918062,931.465884318,860.125942065
2195,464.18677,534.85225824,586.695177102,636.88645173,584.143643111,555.855352251
2196,2149.426034,2113.21177925,2706.55446425,2898.68407663,2690.9191417,2407.33276775
2197,607.367748,646.401961469,684.851609197,741.762621376,679.230126155,667.244421028
2198,948.408526,780.442654667,1005.28704314,1068.70637726,997.091121443,895.174450311
2199,825.0,581.037374405,490.208108596,541.224583185,480.933960284,546.733946523
2200,306.846679,204.876133839,214.098149954,229.634516793,211.911905449,212.724432892
2201,690.964973,451.733175602,480.559979112,515.514206477,474.897551578,472.171867016
2202,118.370016,139.722567331,149.097931489,155.870808941,146.003675284,148.710888885
2203,941.19146,923.916481296,802.182830368,888.351541659,790.309588961,876.727737616
