,trip_id,vehicle_id,route_id,stop_id,time_of_day,date,dist_along_route,stop_num_from_call
0,CA_A6-Weekday-SDon-043500_X1011_315,2582.0,X11,201951.0,12:30:00,20160126,3244.93947917,3.0
1,MA_A6-Weekday-SDon-044500_X1011_603,2849.0,X11,201951.0,12:30:00,20160126,1120.56489362,8.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,203723.0,12:00:00,20160126,2445.63588235,16.0
1,CA_A6-Weekday-SDon-039000_X14_306,2643.0,X14,203723.0,12:00:00,20160126,7145.41829596,2.0
2,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,203723.0,12:00:00,20160126,4937.77603604,8.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,203723.0,12:05:00,20160126,3614.7340625,13.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,203723.0,12:05:00,20160126,1462.80650794,19.0
2,CA_A6-Weekday-SDon-039000_X14_306,2643.0,X14,203723.0,12:05:00,20160126,7966.58714286,1.0
3,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,203723.0,12:05:00,20160126,6401.43193548,4.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,203723.0,12:10:00,20160126,4969.86746032,8.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,203723.0,12:10:00,20160126,2945.10650794,15.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,203723.0,12:15:00,20160126,6161.84968254,5.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,203723.0,12:15:00,20160126,4205.75285714,11.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,203723.0,12:15:00,20160126,460.869157895,23.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,203723.0,12:20:00,20160126,6841.29096774,3.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,203723.0,12:20:00,20160126,5568.84206349,7.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,203723.0,12:20:00,20160126,1770.7906383,18.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,203723.0,12:25:00,20160126,8655.34086957,3.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,203723.0,12:25:00,20160126,6696.61914894,3.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,203723.0,12:25:00,20160126,3189.63444444,14.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,203723.0,12:30:00,20160126,7760.73625,2.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,203723.0,12:30:00,20160126,7021.08489362,3.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,203723.0,12:30:00,20160126,3920.35978723,11.0
0,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,200428.0,12:15:00,20160126,460.869157895,1.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,903101.0,12:00:00,20160126,2445.63588235,33.0
1,CA_A6-Weekday-SDon-036300_X14_304,2657.0,X14,903101.0,12:00:00,20160126,10589.9384211,5.0
2,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,903101.0,12:00:00,20160126,8680.86293578,16.0
3,CA_A6-Weekday-SDon-034800_X14_303,2213.0,X14,903101.0,12:00:00,20160126,26450.9847059,4.0
4,CA_A6-Weekday-SDon-039000_X14_306,2643.0,X14,903101.0,12:00:00,20160126,7145.41829596,19.0
5,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,903101.0,12:00:00,20160126,4937.77603604,25.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,903101.0,12:05:00,20160126,3614.7340625,30.0
1,CA_A6-Weekday-SDon-036300_X14_304,2657.0,X14,903101.0,12:05:00,20160126,12838.6565079,5.0
2,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,903101.0,12:05:00,20160126,1462.80650794,36.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,903101.0,12:05:00,20160126,9013.83603175,16.0
4,CA_A6-Weekday-SDon-034800_X14_303,2213.0,X14,903101.0,12:05:00,20160126,27579.94,0.0
5,CA_A6-Weekday-SDon-039000_X14_306,2643.0,X14,903101.0,12:05:00,20160126,7966.58714286,18.0
6,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,903101.0,12:05:00,20160126,6401.43193548,21.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,903101.0,12:10:00,20160126,4969.86746032,25.0
1,CA_A6-Weekday-SDon-036300_X14_304,2657.0,X14,903101.0,12:10:00,20160126,16368.39625,5.0
2,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,903101.0,12:10:00,20160126,2945.10650794,32.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,903101.0,12:10:00,20160126,9382.64,16.0
4,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,903101.0,12:10:00,20160126,7517.70162791,16.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,903101.0,12:15:00,20160126,6161.84968254,22.0
1,CA_A6-Weekday-SDon-036300_X14_304,2657.0,X14,903101.0,12:15:00,20160126,20698.635,5.0
2,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,903101.0,12:15:00,20160126,4205.75285714,28.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,903101.0,12:15:00,20160126,10073.0174194,5.0
4,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,903101.0,12:15:00,20160126,460.869157895,40.0
5,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,903101.0,12:15:00,20160126,8588.6771875,16.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,903101.0,12:20:00,20160126,6841.29096774,20.0
1,CA_A6-Weekday-SDon-036300_X14_304,2657.0,X14,903101.0,12:20:00,20160126,24832.3616495,5.0
2,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,903101.0,12:20:00,20160126,5568.84206349,24.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,903101.0,12:20:00,20160126,10641.8564516,5.0
4,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,903101.0,12:20:00,20160126,1770.7906383,35.0
5,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,903101.0,12:20:00,20160126,8998.94608696,16.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,903101.0,12:25:00,20160126,8655.34086957,20.0
1,CA_A6-Weekday-SDon-036300_X14_304,2657.0,X14,903101.0,12:25:00,20160126,26508.7308421,3.0
2,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,903101.0,12:25:00,20160126,6696.61914894,20.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,903101.0,12:25:00,20160126,13869.5545455,5.0
4,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,903101.0,12:25:00,20160126,3189.63444444,31.0
5,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,903101.0,12:25:00,20160126,8958.16978947,16.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,903101.0,12:30:00,20160126,7760.73625,19.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,903101.0,12:30:00,20160126,7021.08489362,20.0
2,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,903101.0,12:30:00,20160126,17742.3431579,5.0
3,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,903101.0,12:30:00,20160126,3920.35978723,28.0
4,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,903101.0,12:30:00,20160126,9425.09446809,14.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,805038.0,12:00:00,20160126,2445.63588235,27.0
1,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,805038.0,12:00:00,20160126,8680.86293578,10.0
2,CA_A6-Weekday-SDon-039000_X14_306,2643.0,X14,805038.0,12:00:00,20160126,7145.41829596,13.0
3,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,805038.0,12:00:00,20160126,4937.77603604,19.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,805038.0,12:05:00,20160126,3614.7340625,24.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,805038.0,12:05:00,20160126,1462.80650794,30.0
2,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,805038.0,12:05:00,20160126,9013.83603175,10.0
3,CA_A6-Weekday-SDon-039000_X14_306,2643.0,X14,805038.0,12:05:00,20160126,7966.58714286,12.0
4,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,805038.0,12:05:00,20160126,6401.43193548,15.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,805038.0,12:10:00,20160126,4969.86746032,19.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,805038.0,12:10:00,20160126,2945.10650794,26.0
2,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,805038.0,12:10:00,20160126,9382.64,10.0
3,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,805038.0,12:10:00,20160126,7517.70162791,10.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,805038.0,12:15:00,20160126,6161.84968254,16.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,805038.0,12:15:00,20160126,4205.75285714,22.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,805038.0,12:15:00,20160126,460.869157895,34.0
3,CA_A6-Weekday-SDon-040000_X14_307,2661.0,X14,805038.0,12:15:00,20160126,8588.6771875,10.0
0,CA_A6-Weekday-SDon-041000_X14_308,2581.0,X14,805038.0,12:20:00,20160126,6841.29096774,14.0
1,CA_A6-Weekday-SDon-042000_X14_309,2647.0,X14,805038.0,12:20:00,20160126,5568.84206349,18.0
2,MA_A6-Weekday-SDon-043000_MISC_651,2862.0,X14,805038.0,12:20:00,20160126,1770.7906383,29.0
